Name;NetWorth;Country;Source;Rank;Age;Residence;Citizenship;Status;Children;Education;Self_made;
Jeff Greene;03.сен;United States;real estate, investments;752;66.0;Palm Beach, Florida;United States;Married;3.0;Master of Business Administration, Harvard University;;
Johnelle Hunt;03.сен;United States;trucking;752;89.0;Fayetteville, Arkansas;United States;Widowed;2.0;Drop Out, University of Central Arkansas;True;
Jin Baofang;03.сен;China;solar energy;752;68.0;Xingtai, China;China;Married;;Associate in Arts/Science, Hebei Broadcast and Television University;True;
Kuan Kam Hon & family;03.сен;Malaysia;synthetic gloves;752;73.0;Kuala Lumpur, Malaysia;Malaysia;Married;3.0;;True;
Stephen Mandel; Jr.;03.сен;United States;hedge funds;752;65.0;Greenwich, Connecticut;United States;Married;3.0;Bachelor of Arts/Science, Dartmouth College;
Gilles Martin;03.сен;France;laboratory services;752;57.0;Nantes, France;France;Married;;Bachelor of Arts/Science, Ecole centrale de Paris;;
Masahiro Miki;03.сен;Japan;shoes;752;65.0;Tokyo, Japan;Japan;Married;;Bachelor of Arts/Science, Toho Gakuen tanki University;True;
Dan Olsson;03.сен;Sweden;diversified;752;74.0;Gothenburg, Sweden;Sweden;Married;;;False;
Robert Rowling;03.сен;United States;hotels, investments;752;67.0;Dallas, Texas;United States;Married;2.0;Doctor of Jurisprudence, Southern Methodist University;;
Erik Selin;03.сен;Sweden;real estate;752;53.0;GГ¶teborg, Sweden;Sweden;Divorced;;;True;
Mark Shoen;03.сен;United States;U-Haul;752;70.0;Phoenix, Arizona;United States;Married;1.0;;False;
Ben Silbermann;03.сен;United States;Pinterest;752;38.0;San Francisco, California;United States;Married;2.0;Bachelor of Arts/Science, Yale University;True;
Maximilian Viessmann;03.сен;Germany;heating and cooling equipment;752;;;Germany;;;;False;
Wang Linpeng;03.сен;China;furniture retailing;752;53.0;Beijing, China;China;;;;True;
Wu Zhigang & family;03.сен;China;bakery chain;752;86.0;Shenyang, China;China;Married;3.0;;True;
Yi Zheng;03.сен;China;software;752;50.0;Hangzhou, China;China;;;Bachelor of Arts/Science, Zhejiang University;True;
